,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Arjan de Zeeuw,nl NED,DF,33,36,36,3240,36.0,1,3,4,1,0,0,7,0,0.03,0.08,0.11,0.03,0.11,Matches,93d6bcd9
Yakubu Aiyegbeni,ng NGA,FW,20,37,35,3124,34.7,16,3,19,14,2,2,2,0,0.46,0.09,0.55,0.40,0.49,Matches,a1fe3f62
Dejan Stefanović,rs SRB,DF,28,32,32,2825,31.4,3,0,3,3,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches,1efa2799
Shaka Hislop,tt TRI,GK,34,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f44f7dd
Steve Stone,eng ENG,MF,31,32,29,2533,28.1,2,5,7,2,0,0,4,1,0.07,0.18,0.25,0.07,0.25,Matches,4592c48e
Amdy Faye,sn SEN,DFMF,26,27,27,2281,25.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,c0e82ee2
Teddy Sheringham,eng ENG,FW,37,32,25,2215,24.6,9,4,13,8,1,1,5,0,0.37,0.16,0.53,0.33,0.49,Matches,4e56eef6
Alexey Smertin,ru RUS,MF,28,26,23,2066,23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,006d419b
Patrik Berger,cz CZE,MF,29,20,20,1689,18.8,5,5,10,5,0,0,3,1,0.27,0.27,0.53,0.27,0.53,Matches,f16325b3
Linvoy Primus,eng ENG,DF,29,21,19,1607,17.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9098de87
Matthew Taylor,eng ENG,DFMF,21,30,18,1834,20.4,0,3,3,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,3b2c9cac
Nigel Quashie,sct SCO,MF,25,21,17,1601,17.8,1,0,1,,,,5,0,0.06,0.00,0.06,,,Matches,9b9a2d62
Boris Živković,hr CRO,DF,27,18,17,1532,17.0,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,f6338bc4
Sébastien Schemmel,fr FRA,DF,28,14,12,1035,11.5,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,3a12ed68
Petri Pasanen,fi FIN,DF,22,12,11,940,10.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e008862c
Lomana LuaLua,cd COD,FWMF,22,15,10,925,10.3,4,0,4,4,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches,27bd6d81
Eyal Berkovic,il ISR,MF,31,11,10,811,9.0,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,10e485ae
Hayden Foxe,au AUS,DF,26,10,8,738,8.2,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,fa38e5ea
Richard Hughes,sct SCO,MF,24,11,8,700,7.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7ff95c96
Tim Sherwood,eng ENG,MF,34,13,7,668,7.4,0,1,1,0,0,0,6,0,0.00,0.13,0.13,0.00,0.13,Matches,885f0b51
John Curtis,eng ENG,DF,24,6,5,495,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3edb83bf
Harald Wapenaar,nl NED,GK,33,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e3808e5
Jason Roberts,gd GRN,FW,25,10,4,477,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,62487637
Ivica Mornar,hr CRO,FWMF,29,8,3,355,3.9,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,69355205
Pavel Srníček,cz CZE,GK,35,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db13a630
Gary O'Neil,eng ENG,MF,20,3,3,235,2.6,2,0,2,2,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches,754d4ac4
Svetoslav Todorov,bg BUL,FW,24,1,1,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,504688a9
Richard Duffy,wls WAL,DF,17,1,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4faca002
Vincent Péricard,fr FRA,FW,20,6,0,58,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6fd72ac
Kevin Harper,sct SCO,FW,27,7,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af21d7af
Deon Burton,jm JAM,FW,26,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0567c0f
Carl Robinson,wls WAL,MF,26,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9e083748
Squad Total,,,28.6,38,433,3420,38.0,49,31,80,46,3,3,63,3,1.29,0.82,2.11,1.21,2.03,,-9999
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,,-9999
