,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Kasey Keller,us USA,GK,33,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b5bcd83
Anthony Gardner,eng ENG,DF,22,33,33,2970,33.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,0f2da318
Stephen Carr,ie IRL,DF,26,32,32,2806,31.2,1,2,3,1,0,0,10,1,0.03,0.06,0.10,0.03,0.10,Matches,eb0ae1e9
Robbie Keane,ie IRL,FW,23,34,31,2878,32.0,14,3,17,11,3,3,1,0,0.44,0.09,0.53,0.34,0.44,Matches,f45e1bb2
Mauricio Taricco,ar ARG,DF,30,32,31,2524,28.0,1,1,2,1,0,0,10,0,0.04,0.04,0.07,0.04,0.07,Matches,efad718d
Ledley King,eng ENG,DFMF,22,29,28,2442,27.1,1,4,5,1,0,0,1,0,0.04,0.15,0.18,0.04,0.18,Matches,83ca192d
Dean Richards,eng ENG,DF,29,23,23,2070,23.0,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,9fc6fda5
Frédéric Kanouté,ml MLI,FW,25,27,19,1833,20.4,7,1,8,7,0,0,0,0,0.34,0.05,0.39,0.34,0.39,Matches,1a24d5b6
Michael Brown,eng ENG,MF,26,17,17,1491,16.6,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,85543572
Simon Davies,wls WAL,MF,23,17,17,1472,16.4,2,1,3,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,Matches,522b6d6c
Gary Doherty,ie IRL,DFFW,23,17,16,1451,16.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,db5c50dd
Darren Anderton,eng ENG,MF,31,20,16,1435,15.9,1,4,5,1,0,0,4,0,0.06,0.25,0.31,0.06,0.31,Matches,09cebe50
Jermain Defoe,eng ENG,FW,20,15,14,1277,14.2,7,0,7,7,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches,f1e8372d
Jamie Redknapp,eng ENG,MF,30,17,14,1271,14.1,1,0,1,,,,6,,0.07,0.00,0.07,,,Matches,c337443d
Rohan Ricketts,eng ENG,MF,20,24,12,1152,12.8,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches,78d55186
Stéphane Dalmat,fr FRA,MF,24,22,12,1118,12.4,3,1,4,3,0,0,2,0,0.24,0.08,0.32,0.24,0.32,Matches,d5fe3aa1
Gus Poyet,uy URU,MF,35,20,12,961,10.7,3,1,4,3,0,0,1,0,0.28,0.09,0.37,0.28,0.37,Matches,27cd364d
Paul Konchesky,eng ENG,DFFW,22,12,10,830,9.2,0,1,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,941bcf75
Hélder Postiga,pt POR,FW,20,19,9,901,10.0,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches,c8504093
Johnnie Jackson,eng ENG,MF,20,11,9,734,8.2,1,2,3,1,0,0,0,0,0.12,0.25,0.37,0.12,0.37,Matches,1853aad9
Stephen Kelly,ie IRL,DF,19,11,7,735,8.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4d7dd756
Christian Ziege,de GER,DFMF,31,8,7,566,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c2984c2d
Bobby Zamora,eng ENG,FW,22,16,6,619,6.9,0,2,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,7ddb3563
Goran Bunjevčević,rs SRB,DF,30,7,3,313,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c29307da
Dean Marney,eng ENG,MF,19,3,1,93,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b3379356
Mark Yeates,ie IRL,DFFW,18,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3922703
Mbulelo Mabizela,za RSA,DFMF,22,6,0,103,1.1,1,0,1,1,0,0,1,0,0.87,0.00,0.87,0.87,0.87,Matches,92b06426
Jonathan Blondel,be BEL,MF,19,1,0,26,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5d1c0873
Squad Total,,,26.2,38,407,3420,38.0,47,33,80,44,3,3,61,0,1.24,0.87,2.11,1.16,2.03,,-9999
Opponent Total,,,27.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
