,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Paul Butler,ie IRL,DF,30,37,37,3330,37.0,1,0,1,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matches,8623b652
Lee Naylor,eng ENG,DF,23,38,37,3213,35.7,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,eb569ce1
Paul Ince,eng ENG,MF,35,32,32,2856,31.7,2,2,4,2,0,0,15,1,0.06,0.06,0.13,0.06,0.13,Matches,3ce58c27
Jody Craddock,eng ENG,DFMF,28,32,31,2792,31.0,1,1,2,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches,573e5dd2
Denis Irwin,ie IRL,DF,37,32,30,2662,29.6,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,9d080c30
Henri Camara,sn SEN,FW,26,30,29,2589,28.8,7,3,10,7,0,1,2,0,0.24,0.10,0.35,0.24,0.35,Matches,b2b48ae0
Mark Kennedy,ie IRL,DFMF,27,31,28,2531,28.1,2,5,7,2,0,0,0,0,0.07,0.18,0.25,0.07,0.25,Matches,9f91768b
Alex Rae,sct SCO,MF,33,33,27,2526,28.1,5,3,8,5,0,0,11,1,0.18,0.11,0.29,0.18,0.29,Matches,a64175a1
Colin Cameron,sct SCO,MF,30,30,25,2222,24.7,4,0,4,3,1,2,5,0,0.16,0.00,0.16,0.12,0.12,Matches,094c443c
Michael Oakes,eng ENG,GK,29,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af24b12a
Shaun Newton,eng ENG,MF,27,28,20,1721,19.1,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,75de93be
Kenny Miller,sct SCO,FW,23,25,17,1428,15.9,2,1,3,2,0,0,2,0,0.13,0.06,0.19,0.13,0.19,Matches,5e606f92
Paul Jones,wls WAL,GK,36,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bf1ce9d
Carl Cort,gy GUY,FW,25,16,13,1155,12.8,5,2,7,5,0,0,0,0,0.39,0.16,0.55,0.39,0.55,Matches,c07f2109
Steffen Iversen,no NOR,FW,26,16,11,877,9.7,4,0,4,4,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matches,6454b97e
Nathan Blake,wls WAL,FW,31,13,10,1001,11.1,1,2,3,1,0,0,3,0,0.09,0.18,0.27,0.09,0.27,Matches,6c447486
Isaac Okoronkwo,ng NGA,DF,25,7,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,15a57122
Ionel Ganea,ro ROU,FW,29,16,6,639,7.1,3,0,3,3,0,1,3,0,0.42,0.00,0.42,0.42,0.42,Matches,e02f16b2
Mark Clyde,nir NIR,DF,20,9,6,516,5.7,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,57b2cc91
Joey Guðjónsson,is ISL,MF,23,11,5,454,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b79e0fde
Oleh Luzhny,ua UKR,DF,34,6,4,392,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d39e96f7
Silas,pt POR,MF,26,9,2,231,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be632ef8
Dean Sturridge,eng ENG,FW,30,5,2,199,2.2,0,1,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches,70e13fa1
Keith Andrews,ie IRL,MF,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5bca867f
Matt Murray,eng ENG,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d7122332
Hassan Kachloul,ma MAR,MF,30,4,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea1a36dc
Kevin Cooper,eng ENG,MF,28,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e9222c7
Squad Total,,,29.6,38,428,3420,38.0,39,25,64,38,1,4,68,2,1.03,0.66,1.68,1.00,1.66,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
