,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Maik Taylor,nir NIR,GK,32,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,755ea891
Matt Upson,eng ENG,DF,25,36,36,3240,36.0,2,1,3,2,0,0,5,0,0.06,0.03,0.08,0.06,0.08,Matches,1a6e6d03
Kenny Cunningham,ie IRL,DF,33,36,36,3168,35.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,984a2038
Damien Johnson,nir NIR,MF,25,36,36,3102,34.5,0,1,1,0,0,0,9,2,0.00,0.03,0.03,0.00,0.03,Matches,c1c0a75f
Emile Heskey,eng ENG,FW,26,34,34,2872,31.9,10,4,14,10,0,0,6,0,0.31,0.13,0.44,0.31,0.44,Matches,30184789
Mario Melchiot,nl NED,DF,27,34,33,2842,31.6,1,1,2,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,Matches,1f5e2ed9
Julian Gray,eng ENG,FWMF,24,32,18,1919,21.3,2,0,2,2,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,8b545182
Jamie Clapham,eng ENG,DF,28,27,18,1673,18.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1df59e7b
Robbie Savage,wls WAL,MF,29,18,18,1613,17.9,4,2,6,,,,5,0,0.22,0.11,0.33,,,Matches,f60a24de
Stan Lazaridis,au AUS,DFMF,31,20,15,1346,15.0,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,5350fc7f
Stephen Clemence,eng ENG,MF,26,22,13,1300,14.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,31f20410
Clinton Morrison,ie IRL,FW,25,26,13,1233,13.7,4,2,6,4,0,0,4,0,0.29,0.15,0.44,0.29,0.44,Matches,e80d5b3b
Jesper Grønkjær,dk DEN,FWMF,26,16,13,1143,12.7,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,afe43b0f
Walter Pandiani,uy URU,FW,28,14,13,1041,11.6,4,2,6,3,1,1,2,0,0.35,0.17,0.52,0.26,0.43,Matches,11899bb1
Darren Carter,eng ENG,DFMF,20,15,12,1040,11.6,2,1,3,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,Matches,52fefc5b
Jermaine Pennant,eng ENG,MF,21,12,12,1011,11.2,0,3,3,0,0,0,3,0,0.00,0.27,0.27,0.00,0.27,Matches,c6043950
Muzzy Izzet,tr TUR,MF,29,10,10,816,9.1,1,1,2,1,0,0,3,1,0.11,0.11,0.22,0.11,0.22,Matches,aeeddfc4
Darren Anderton,eng ENG,MF,32,20,9,868,9.6,3,1,4,3,0,0,1,0,0.31,0.10,0.41,0.31,0.41,Matches,09cebe50
Olivier Tébily,ci CIV,DF,28,15,9,764,8.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,10b7ae2e
David Dunn,eng ENG,MF,24,11,9,722,8.0,2,3,5,2,0,0,4,0,0.25,0.37,0.62,0.25,0.62,Matches,7ecdf483
Mehdi Nafti,tn TUN,MF,25,10,7,606,6.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,93e31883
Dwight Yorke,tt TRI,FWMF,32,13,4,526,5.8,2,0,2,2,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches,2d0a99d3
Martin Taylor,eng ENG,DF,24,7,4,358,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,08840bbf
Mikael Forssell,fi FIN,FW,23,4,4,329,3.7,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,1454df8d
Robbie Blake,eng ENG,FWMF,28,11,2,335,3.7,2,0,2,1,1,1,0,0,0.54,0.00,0.54,0.27,0.27,Matches,ddc0a1fd
Salif Diao,sn SEN,MF,27,2,2,157,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,acc326da
Stern John,tt TRI,FW,27,3,0,54,0.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4e2ac24
Squad Total,,,27.9,38,417,3420,38.0,37,24,61,35,2,2,63,3,0.97,0.63,1.61,0.92,1.55,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
