,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Zat Knight,eng ENG,DF,24,35,35,3136,34.8,1,0,1,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,Matches,607efc45
Edwin van der Sar,nl NED,GK,33,34,33,2987,33.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,98ee8a67
Moritz Volz,de GER,DF,21,31,31,2775,30.8,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,41b3e74a
Luís Boa Morte,pt POR,FWMF,26,31,29,2602,28.9,8,9,17,8,0,0,7,0,0.28,0.31,0.59,0.28,0.59,Matches,59ab6332
Papa Bouba Diop,sn SEN,DFMF,26,29,29,2511,27.9,6,0,6,6,0,0,9,2,0.22,0.00,0.22,0.22,0.22,Matches,7994a7f9
Andy Cole,eng ENG,FW,32,31,29,2501,27.8,12,4,16,11,1,2,4,1,0.43,0.14,0.58,0.40,0.54,Matches,b6638a2c
Carlos Bocanegra,us USA,DF,25,28,26,2376,26.4,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,c76a89aa
Mark Pembridge,wls WAL,MF,33,28,26,2332,25.9,0,5,5,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,0f9d5dee
Tomasz Radzinski,ca CAN,FW,30,35,25,2208,24.5,6,4,10,6,0,0,1,0,0.24,0.16,0.41,0.24,0.41,Matches,c3bb247b
Steed Malbranque,fr FRA,MF,24,26,22,1888,21.0,6,6,12,5,1,2,0,0,0.29,0.29,0.57,0.24,0.52,Matches,e3df61bc
Liam Rosenior,eng ENG,DF,20,17,16,1434,15.9,0,1,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matches,8b0d6fe9
Brian McBride,us USA,FW,32,31,15,1532,17.0,6,4,10,6,0,0,0,0,0.35,0.23,0.59,0.35,0.59,Matches,c3c36568
Zesh Rehman,pk PAK,DF,20,17,15,1466,16.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,25f78221
Lee Clark,eng ENG,MF,31,17,15,1420,15.8,1,2,3,1,0,0,2,0,0.06,0.13,0.19,0.06,0.19,Matches,8bd64c51
Alain Goma,fr FRA,DF,31,16,15,1403,15.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,92ecd444
Collins John,nl NED,FW,18,27,13,1183,13.1,4,0,4,4,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches,735ea819
Sylvain Legwinski,fr FRA,MF,30,15,13,1127,12.5,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,b6054175
Ian Pearce,eng ENG,DF,30,11,11,780,8.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,3537c18f
Claus Jensen,dk DEN,MF,27,12,10,788,8.8,0,2,2,0,0,0,0,1,0.00,0.23,0.23,0.00,0.23,Matches,b8f8fb0d
Mark Crossley,wls WAL,GK,35,5,5,433,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51a772b8
Adam Green,eng ENG,DF,20,4,4,360,4.0,0,1,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches,9085b193
Billy McKinlay,sct SCO,MF,35,2,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5e06511
Elvis Hammond,gh GHA,FW,23,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51ca8fed
Liam Fontaine,eng ENG,DF,18,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51a44732
Squad Total,,,27.7,38,418,3420,38.0,52,39,91,50,2,4,57,7,1.37,1.03,2.39,1.32,2.34,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
