,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mikaël Silvestre,fr FRA,DF,26,35,33,2948,32.8,2,1,3,2,0,0,2,1,0.06,0.03,0.09,0.06,0.09,Matches,4dde97ea
Rio Ferdinand,eng ENG,DF,25,31,31,2790,31.0,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,52465662
Paul Scholes,eng ENG,MF,29,33,29,2605,28.9,9,3,12,9,0,0,5,1,0.31,0.10,0.41,0.31,0.41,Matches,24a3a72c
Roy Keane,ie IRL,MF,32,31,28,2610,29.0,1,2,3,1,0,0,9,0,0.03,0.07,0.10,0.03,0.10,Matches,8f218498
Roy Carroll,nir NIR,GK,26,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e880937
Ryan Giggs,wls WAL,FWMF,30,32,26,2321,25.8,6,9,15,6,0,0,3,0,0.23,0.35,0.58,0.23,0.58,Matches,561de8d0
Gabriel Heinze,ar ARG,DF,26,26,26,2287,25.4,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches,54629cf9
Cristiano Ronaldo,pt POR,FWMF,19,33,25,2423,26.9,5,4,9,5,0,0,3,0,0.19,0.15,0.33,0.19,0.33,Matches,dea698d9
Wayne Rooney,eng ENG,FWMF,18,29,24,2185,24.3,11,2,13,11,0,1,7,0,0.45,0.08,0.54,0.45,0.54,Matches,f07be45a
Alan Smith,eng ENG,FWMF,23,31,22,2042,22.7,6,4,10,6,0,0,4,1,0.26,0.18,0.44,0.26,0.44,Matches,fdac06ea
Gary Neville,eng ENG,DF,29,22,22,1890,21.0,0,3,3,0,0,0,2,1,0.00,0.14,0.14,0.00,0.14,Matches,1b013e33
Wes Brown,eng ENG,DF,24,21,18,1641,18.2,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,Matches,659ccc97
Darren Fletcher,sct SCO,MF,20,18,18,1370,15.2,3,2,5,3,0,0,0,0,0.20,0.13,0.33,0.20,0.33,Matches,184e4970
John O'Shea,ie IRL,DFMF,23,23,16,1490,16.6,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches,7c1f4685
Ruud van Nistelrooy,nl NED,FW,28,17,16,1361,15.1,6,1,7,3,3,3,1,0,0.40,0.07,0.46,0.20,0.26,Matches,80a30989
Tim Howard,us USA,GK,25,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c444465e
Phil Neville,eng ENG,DFMF,27,19,12,1069,11.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3db5e0ec
Quinton Fortune,za RSA,MF,27,17,12,1041,11.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fa706d7f
Louis Saha,fr FRA,FW,25,14,7,670,7.4,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,Matches,7106e4fe
José Kléberson,br BRA,MF,25,8,6,416,4.6,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,b05f5f22
Eric Djemba-Djemba,cm CMR,MF,23,5,3,281,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7c35434
Liam Miller,ie IRL,MF,23,8,3,265,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64b24142
Jonathan Spector,us USA,DFMF,18,3,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3670bd5c
David Bellion,fr FRA,FW,21,10,1,208,2.3,2,0,2,2,0,0,0,0,0.87,0.00,0.87,0.87,0.87,Matches,a901d685
Kieran Richardson,eng ENG,DFMF,19,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2bf40b4
Diego Forlán,uy URU,FWMF,25,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d87d0dfc
Squad Total,,,26.0,38,416,3420,38.0,57,45,102,54,3,4,52,5,1.50,1.18,2.68,1.42,2.61,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
