,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Shay Given,ie IRL,GK,28,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0db918ff
Jermaine Jenas,eng ENG,MF,21,31,28,2528,28.1,1,3,4,1,0,0,4,0,0.04,0.11,0.14,0.04,0.14,Matches,3149f712
Alan Shearer,eng ENG,FW,33,28,26,2261,25.1,7,0,7,4,3,3,0,0,0.28,0.00,0.28,0.16,0.16,Matches,438b3a51
Lee Bowyer,eng ENG,MF,27,27,26,2179,24.2,3,3,6,3,0,0,7,2,0.12,0.12,0.25,0.12,0.25,Matches,f4fd57ba
Stephen Carr,ie IRL,DF,27,26,26,2131,23.7,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches,eb0ae1e9
Andy O'Brien,ie IRL,DF,25,23,21,1947,21.6,2,0,2,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,1719f6b2
Craig Bellamy,wls WAL,FW,25,21,21,1788,19.9,7,4,11,7,0,0,2,0,0.35,0.20,0.55,0.35,0.55,Matches,b9eae55b
Laurent Robert,fr FRA,FWMF,29,31,20,1903,21.1,3,5,8,3,0,0,4,0,0.14,0.24,0.38,0.14,0.38,Matches,2f907a4b
Kieron Dyer,eng ENG,MF,25,23,20,1757,19.5,4,0,4,4,0,0,0,1,0.20,0.00,0.20,0.20,0.20,Matches,90b5a2f2
Olivier Bernard,fr FRA,DF,24,21,19,1675,18.6,0,2,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,a14778f2
Aaron Hughes,nir NIR,DF,24,22,18,1676,18.6,1,0,1,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,Matches,dccccccc
Titus Bramble,eng ENG,DF,23,19,18,1650,18.3,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches,83ac7c3c
Shola Ameobi,ng NGA,FW,22,31,17,1674,18.6,2,1,3,2,0,0,3,1,0.11,0.05,0.16,0.11,0.16,Matches,e79a368b
Nicky Butt,eng ENG,DFMF,29,18,16,1424,15.8,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches,616b3f9a
Robbie Elliott,eng ENG,DF,30,17,15,1326,14.7,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,9ade4dc1
Patrick Kluivert,nl NED,FW,28,25,15,1292,14.4,6,1,7,6,0,0,3,0,0.42,0.07,0.49,0.42,0.49,Matches,6c3b0583
Jean-Alain Boumsong,fr FRA,DF,24,14,14,1237,13.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c2c31ca9
James Milner,eng ENG,DFMF,18,25,13,1263,14.0,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,2f90f6b8
Steven Taylor,eng ENG,DF,18,13,11,1011,11.2,0,1,1,0,0,0,5,1,0.00,0.09,0.09,0.00,0.09,Matches,9f9ba8ca
Charles N'Zogbia,fr FRA,DFFW,18,14,8,809,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,4e31f3e2
Darren Ambrose,eng ENG,FWMF,20,12,8,741,8.2,3,0,3,3,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,6e5117de
Amdy Faye,sn SEN,DFMF,27,9,8,704,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c0e82ee2
Celestine Babayaro,ng NGA,DFMF,25,7,7,626,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,dd4e6b97
Ronny Johnsen,no NOR,DF,35,3,3,235,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,02f25c21
Peter Ramage,eng ENG,DF,20,4,2,262,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3576e11
Steve Harper,eng ENG,GK,29,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a98f1d52
Michael Chopra,eng ENG,FW,20,1,0,15,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8368ec0
Squad Total,,,25.9,38,435,3420,38.0,44,32,76,41,3,3,60,5,1.16,0.84,2.00,1.08,1.92,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
