,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Dejan Stefanović,rs SRB,DF,29,32,32,2880,32.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1efa2799
Arjan de Zeeuw,nl NED,DF,34,32,32,2757,30.6,3,0,3,3,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,93d6bcd9
Linvoy Primus,eng ENG,DF,30,35,31,2870,31.9,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches,9098de87
Patrik Berger,cz CZE,MF,30,32,30,2496,27.7,3,5,8,3,0,0,0,0,0.11,0.18,0.29,0.11,0.29,Matches,f16325b3
Yakubu Aiyegbeni,ng NGA,FW,21,30,29,2467,27.4,13,3,16,9,4,4,2,0,0.47,0.11,0.58,0.33,0.44,Matches,a1fe3f62
Steve Stone,eng ENG,MF,32,23,22,1879,20.9,3,1,4,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,Matches,4592c48e
Matthew Taylor,eng ENG,DFMF,22,32,21,2150,23.9,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,3b2c9cac
Gary O'Neil,eng ENG,MF,21,24,21,1889,21.0,2,2,4,2,0,0,3,0,0.10,0.10,0.19,0.10,0.19,Matches,754d4ac4
Lomana LuaLua,cd COD,FWMF,23,25,20,1733,19.3,6,3,9,6,0,0,2,1,0.31,0.16,0.47,0.31,0.47,Matches,27bd6d81
Nigel Quashie,sct SCO,MF,26,19,19,1693,18.8,0,0,0,,,,2,0,0.00,0.00,0.00,,,Matches,9b9a2d62
Andy Griffin,eng ENG,DF,25,22,18,1609,17.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,38517dc5
Shaka Hislop,tt TRI,GK,35,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f44f7dd
Amdy Faye,sn SEN,DFMF,27,20,17,1527,17.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,c0e82ee2
Jamie Ashdown,eng ENG,GK,23,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f056348
Diomansy Kamara,sn SEN,FW,23,25,15,1372,15.2,4,0,4,4,0,0,3,0,0.26,0.00,0.26,0.26,0.26,Matches,71e8454e
David Unsworth,eng ENG,DF,30,15,15,1194,13.3,2,3,5,0,2,2,4,0,0.15,0.23,0.38,0.00,0.23,Matches,05fcbb55
Ricardo Fuller,jm JAM,FW,24,31,13,1483,16.5,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,c764fa54
Richard Hughes,sct SCO,MF,25,16,13,1143,12.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,7ff95c96
Aliou Cissé,sn SEN,DFMF,28,20,12,1156,12.8,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,0717f817
Giannis Skopelitis,gr GRE,MF,26,13,9,800,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6c4a0c90
Eyal Berkovic,il ISR,MF,32,11,6,445,4.9,1,4,5,1,0,0,0,0,0.20,0.81,1.01,0.20,1.01,Matches,10e485ae
Kostas Chalkias,gr GRE,GK,30,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c36086c
Valéry Mézague,cm CMR,MF,20,11,3,369,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f499aac7
Aleksandar Rodić,si SVN,FW,24,4,1,118,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,92cc86d0
James Keene,eng ENG,FW,18,2,1,111,1.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93876c6b
John Curtis,eng ENG,DF,25,1,0,21,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3edb83bf
Squad Total,,,27.6,38,386,3420,38.0,41,30,71,35,6,6,54,2,1.08,0.79,1.87,0.92,1.71,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
