,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Thomas Kaminski,be BEL,GK,30,38,38,3405,37.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1caa93a5
Alfie Doughty,eng ENG,MFDF,23,37,34,2925,32.5,2,8,10,2,0,0,5,0,0.06,0.25,0.31,0.06,0.31,Matches,bf33b257
Carlton Morris,eng ENG,FWMF,27,38,32,2862,31.8,11,4,15,6,5,5,4,0,0.35,0.13,0.47,0.19,0.31,Matches,2da834f1
Ross Barkley,eng ENG,MF,29,32,30,2618,29.1,5,4,9,5,0,0,6,0,0.17,0.14,0.31,0.17,0.31,Matches,3a24769f
Teden Mengi,eng ENG,DF,21,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,91748070
Gabriel Osho,ng NGA,DF,24,21,21,1846,20.5,2,0,2,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,cd889153
Issa Kaboré,bf BFA,MFDF,22,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.00,0.10,0.10,0.00,0.10,Matches,c066d1a5
Amari'i Bell,jm JAM,DF,29,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,399e9474
Chiedozie Ogbene,ie IRL,MF,26,30,20,1995,22.2,4,1,5,4,0,0,1,0,0.18,0.05,0.23,0.18,0.23,Matches,788c0277
Tahith Chong,cw CUW,MFFW,23,33,20,1982,22.0,4,0,4,4,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches,2696b6a9
Reece Burke,eng ENG,DF,26,22,20,1660,18.4,0,4,4,0,0,0,5,0,0.00,0.22,0.22,0.00,0.22,Matches,a681b7b7
Elijah Adebayo,eng ENG,FW,25,27,16,1419,15.8,10,0,10,10,0,0,1,0,0.63,0.00,0.63,0.63,0.63,Matches,0480ebc7
