,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Malick Thiaw,de GER,DF,23,35,33,2965,32.9,4,0,4,4,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,ff5ea0bf
Sandro Tonali,it ITA,MF,25,35,31,2534,28.2,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,0db169ae
Bruno Guimarães,br BRA,MF,27,29,27,2453,27.3,9,5,14,7,2,2,6,0,0.33,0.18,0.51,0.26,0.44,Matches,82518f62
Nick Pope,eng ENG,GK,33,27,27,2416,26.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4b40d9ca
Dan Burn,eng ENG,DF,33,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12,Matches,b2d31e83
Lewis Hall,eng ENG,DF,20,30,24,2181,24.2,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches,da011f18
Nick Woltemade,de GER,FWMF,23,33,24,1902,21.1,8,3,11,7,1,1,0,0,0.38,0.14,0.52,0.33,0.47,Matches,7ca196eb
Anthony Gordon,eng ENG,FW,24,26,24,1795,19.9,6,2,8,3,3,3,3,1,0.30,0.10,0.40,0.15,0.25,Matches,2bd83368
Joelinton,br BRA,MF,28,27,23,1951,21.7,2,1,3,2,0,0,10,0,0.09,0.05,0.14,0.09,0.14,Matches,c17bfb65
Sven Botman,nl NED,DF,25,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,ccce7025
Harvey Barnes,eng ENG,FWMF,27,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37,Matches,3ea50f67
Jacob Murphy,eng ENG,FWMF,30,33,19,1617,18.0,3,2,5,3,0,0,2,0,0.17,0.11,0.28,0.17,0.28,Matches,de112b84
Kieran Trippier,eng ENG,DF,34,21,18,1586,17.6,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,21512407
Lewis Miley,eng ENG,MFDF,19,23,15,1496,16.6,1,4,5,1,0,0,0,0,0.06,0.24,0.30,0.06,0.30,Matches,2c6835e5
Jacob Ramsey,eng ENG,MF,24,28,15,1450,16.1,2,3,5,2,0,0,5,1,0.12,0.19,0.31,0.12,0.31,Matches,1544f145
Tino Livramento,eng ENG,DF,22,17,14,1328,14.8,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,afed6722
Anthony Elanga,se SWE,FWMF,23,32,14,1319,14.7,0,1,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,2fba6108
Fabian Schär,ch SUI,DF,33,16,11,1091,12.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c8aa95da
Aaron Ramsdale,eng ENG,GK,27,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,466fb2c5
Joe Willock,eng ENG,MF,25,24,10,983,10.9,0,2,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,a3b03921
William Osula,dk DEN,FW,21,24,8,819,9.1,7,0,7,7,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches,7b355808
Yoane Wissa,cd COD,FW,28,19,4,531,5.9,1,1,2,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,2500cef9
Emil Krafth,se SWE,DF,30,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77cf6852
Jamaal Lascelles,eng ENG,DF,31,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,450ab6fc
Sean Neave,eng ENG,FW,18,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ff392864
Alex Murphy,ie IRL,DF,21,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f1c42eb3
Adedamola Alabi,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,Matches,d5f1b74a
John Ruddy,eng ENG,GK,38,0,0,,,,,,,,,,,,,,,,Matches,da8b19e2
Park Seungsoo,kr KOR,MF,18,0,0,,,,,,,,,,,,,,,,Matches,b6aabcf8
Leo Shahar,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches,5536f008
Squad Total,,,26.7,38,418,3420,38.0,53,33,86,47,6,6,67,3,1.39,0.87,2.26,1.24,2.11,,-9999
Opponent Total,,,26.0,38,418,3420,38.0,53,33,86,48,5,5,91,2,1.39,0.87,2.26,1.26,2.13,,-9999
