,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Walter Zenga,it ITA,GK,28,33,33,2970,33.0,0,,,0,0,,4,0,0.00,,,0.00,,Matches,6ca4e2c5
Ramón Díaz,ar ARG,FW,28,33,33,2650,29.4,12,,,12,0,,1,0,0.41,,,0.41,,Matches,b29aabf0
Giuseppe Bergomi,it ITA,DF,24,32,32,2880,32.0,1,,,1,0,,2,0,0.03,,,0.03,,Matches,f96ba2fe
Aldo Serena,it ITA,FW,28,32,32,2880,32.0,22,,,20,2,,2,0,0.69,,,0.62,,Matches,0c605bfb
Lothar Matthäus,de GER,DFMF,27,32,32,2817,31.3,9,,,5,4,,2,2,0.29,,,0.16,,Matches,94260e89
Nicola Berti,it ITA,MF,21,32,32,2775,30.8,7,,,7,0,,7,0,0.23,,,0.23,,Matches,b957fe09
Gianfranco Matteoli,it ITA,MF,29,32,31,2800,31.1,2,,,2,0,,2,0,0.06,,,0.06,,Matches,96535052
Riccardo Ferri,it ITA,DF,24,31,31,2766,30.7,0,,,0,0,,5,0,0.00,,,0.00,,Matches,b6af723c
Andreas Brehme,de GER,DFMF,27,31,31,2745,30.5,3,,,3,0,,3,0,0.10,,,0.10,,Matches,42f22a8d
Andrea Mandorlini,it ITA,DFMF,28,26,26,2274,25.3,3,,,3,0,,2,0,0.12,,,0.12,,Matches,f16f2691
Alessandro Bianchi,it ITA,MF,22,31,26,2265,25.2,3,,,3,0,,2,0,0.12,,,0.12,,Matches,15edda7a
Giuseppe Baresi,it ITA,DFMF,30,32,13,1467,16.3,0,,,0,0,,1,0,0.00,,,0.00,,Matches,39c5ed92
Corrado Verdelli,it ITA,DF,24,20,13,1303,14.5,0,,,0,0,,2,1,0.00,,,0.00,,Matches,31630f46
Pietro Fanna,it ITA,MF,30,13,7,615,6.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches,a72b6b5a
Astutillo Malgioglio,it ITA,GK,30,1,1,90,1.0,0,,,,,,0,0,0.00,,,,,Matches,7da18b99
Romano Galvani,it ITA,MF,25,3,1,81,0.9,0,,,0,0,,0,0,0.00,,,0.00,,Matches,ea0dbd53
Dario Morello,it ITA,FWMF,20,10,0,195,2.2,0,,,0,0,,2,0,0.00,,,0.00,,Matches,05fab802
Alberto Rivolta,it ITA,DF,20,1,0,12,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,ceb7c076
Pasquale Rocco,it ITA,MF,17,1,0,1,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches,2cc7e296
Gabriele Baraldi,it ITA,DF,19,0,0,,0.0,0,,,,,,0,0,,,,,,Matches,eb139f35
Luca Mondini,it ITA,GK,18,0,0,,0.0,0,,,,,,0,0,,,,,,Matches,d3982cb9
Salvatore Nobile,it ITA,DF,24,0,0,,0.0,0,,,,,,0,0,,,,,,Matches,cf9d60ab
Raffaele Paolino,it ITA,MF,19,0,0,,0.0,0,,,,,,0,0,,,,,,Matches,c31b4723
Squad Total,,,26.6,34,,3060,34.0,,,,,,,37,,,,,,,,-9999
Opponent Total,,,25.8,34,,3060,34.0,19,,,,,,,,0.56,,,,,,-9999
