,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Javier Zanetti,ar ARG,DFMF,32,37,34,3129,34.8,1,1,2,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches,2fb9e5c1
Júlio César,br BRA,GK,26,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f619413f
Dejan Stanković,rs SRB,MF,27,34,31,2721,30.2,6,11,17,6,0,0,11,0,0.20,0.36,0.56,0.20,0.56,Matches,167d7dd3
Maicon Sisenando,br BRA,DF,25,32,27,2588,28.8,2,8,10,2,0,0,8,1,0.07,0.28,0.35,0.07,0.35,Matches,fbc5d136
Marco Materazzi,it ITA,DF,32,28,27,2376,26.4,10,0,10,6,4,4,13,1,0.38,0.00,0.38,0.23,0.23,Matches,5f08a3e3
Iván Córdoba,co COL,DF,29,29,25,2267,25.2,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches,853b902b
Zlatan Ibrahimović,se SWE,FW,24,27,25,2156,24.0,15,7,22,15,0,1,8,2,0.63,0.29,0.92,0.63,0.92,Matches,4cde5509
Hernán Crespo,ar ARG,FW,31,29,22,1850,20.6,14,1,15,14,0,0,3,0,0.68,0.05,0.73,0.68,0.73,Matches,09089343
Fabio Grosso,it ITA,DFMF,28,23,22,1624,18.0,2,0,2,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,db77a624
Luís Figo,pt POR,FWMF,33,32,19,2020,22.4,2,8,10,0,2,2,4,0,0.09,0.36,0.45,0.00,0.36,Matches,f20f347f
Nicolás Burdisso,ar ARG,DF,25,24,19,1884,20.9,2,1,3,2,0,0,7,0,0.10,0.05,0.14,0.10,0.14,Matches,9417f322
Patrick Vieira,fr FRA,MF,30,20,19,1695,18.8,1,3,4,1,0,0,8,1,0.05,0.16,0.21,0.05,0.21,Matches,f90f1086
Esteban Cambiasso,ar ARG,MF,25,21,18,1592,17.7,3,3,6,3,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,4d801075
Olivier Dacourt,fr FRA,MF,31,24,18,1488,16.5,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,3a114b3c
Adriano,br BRA,FW,24,23,14,1414,15.7,5,9,14,5,0,0,1,0,0.32,0.57,0.89,0.32,0.89,Matches,4ec73d8a
Maxwell,br BRA,DF,24,22,14,1241,13.8,1,1,2,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches,6f08cece
Walter Samuel,ar ARG,DF,28,18,12,1062,11.8,3,0,3,3,0,0,4,0,0.25,0.00,0.25,0.25,0.25,Matches,ceb6c79d
Santiago Solari,ar ARG,MF,29,21,12,968,10.8,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches,e34c6e97
Julio Ricardo Cruz,ar ARG,FW,31,15,8,795,8.8,7,1,8,7,0,1,2,0,0.79,0.11,0.91,0.79,0.91,Matches,7679c2bc
Francesco Toldo,it ITA,GK,34,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a71df39
Álvaro Recoba,uy URU,FWMF,30,13,6,453,5.0,1,1,2,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,Matches,25b11ac7
Mariano González,ar ARG,MF,25,14,4,456,5.1,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,8f9e8be2
Marco Andreolli,it ITA,DF,20,4,4,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13d820de
Lampros Choutos,gr GRE,FWMF,26,1,0,12,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,0a296ab6
Ibrahim Maaroufi,be BEL,MF,17,1,0,9,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,ffdd46a9
Squad Total,,,28.8,38,418,3420,38.0,76,59,135,70,6,8,92,5,2.00,1.55,3.55,1.84,3.39,,-9999
Opponent Total,,,27.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
