,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Francesco Totti,it ITA,FWMF,29,35,35,3024,33.6,26,9,35,21,5,10,2,1,0.77,0.27,1.04,0.62,0.89,Matches,ed75b6c7
Daniele De Rossi,it ITA,DFMF,23,36,34,3012,33.5,2,4,6,2,0,0,7,0,0.06,0.12,0.18,0.06,0.18,Matches,532d2690
Doni,br BRA,GK,26,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b8be3693
Simone Perrotta,it ITA,MF,28,34,32,2768,30.8,8,4,12,8,0,0,5,0,0.26,0.13,0.39,0.26,0.39,Matches,12fedefa
Christian Panucci,it ITA,DF,33,34,30,2727,30.3,5,1,6,5,0,0,5,0,0.17,0.03,0.20,0.17,0.20,Matches,b0d1a3a8
David Pizarro,cl CHI,MF,26,32,30,2711,30.1,1,6,7,1,0,0,8,0,0.03,0.20,0.23,0.03,0.23,Matches,8b92c119
Philippe Mexès,fr FRA,DF,24,27,27,2417,26.9,3,1,4,3,0,0,10,0,0.11,0.04,0.15,0.11,0.15,Matches,a5eb25eb
Max Tonetto,it ITA,DFMF,31,30,27,2342,26.0,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,2378ae69
Cristian Chivu,ro ROU,DF,25,26,26,2307,25.6,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,3bf30a4f
Rodrigo Taddei,br BRA,DFFW,26,29,25,2316,25.7,5,6,11,5,0,0,1,0,0.19,0.23,0.43,0.19,0.43,Matches,ec2042ad
Mancini,br BRA,FWMF,25,29,25,2096,23.3,8,6,14,8,0,0,4,0,0.34,0.26,0.60,0.34,0.60,Matches,c3baac3c
Matteo Ferrari,it ITA,DF,26,27,24,2129,23.7,2,2,4,2,0,0,6,1,0.08,0.08,0.17,0.08,0.17,Matches,218f3d60
Marco Cassetti,it ITA,DFMF,29,28,18,1644,18.3,2,1,3,2,0,0,7,0,0.11,0.05,0.16,0.11,0.16,Matches,d607e02f
Christian Wilhelmsson,se SWE,MF,26,19,12,998,11.1,1,2,3,1,0,0,3,0,0.09,0.18,0.27,0.09,0.27,Matches,a98823f2
Alberto Aquilani,it ITA,MF,22,13,9,763,8.5,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,ad340e17
Francesco Tavano,it ITA,FW,27,14,7,654,7.3,2,1,3,2,0,0,0,0,0.28,0.14,0.41,0.28,0.41,Matches,d4a26b3a
Gianluca Curci,it ITA,GK,21,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,40ca7873
Mirko Vučinić,me MNE,FW,22,25,5,687,7.6,2,3,5,2,0,0,2,0,0.26,0.39,0.66,0.26,0.66,Matches,b04b9530
Aleandro Rosi,it ITA,DFMF,19,19,5,616,6.8,2,1,3,2,0,0,3,0,0.29,0.15,0.44,0.29,0.44,Matches,1b729ba2
Vincenzo Montella,it ITA,FW,32,12,5,540,6.0,3,1,4,3,0,0,2,0,0.50,0.17,0.67,0.50,0.67,Matches,e817154c
Ricardo Faty,sn SEN,MF,19,11,3,306,3.4,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,ab19c82c
Valerio Virga,it ITA,MF,20,4,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3716d4ae
Stefano Okaka,it ITA,FW,16,6,0,31,0.3,1,0,1,1,0,0,1,0,2.90,0.00,2.90,2.90,2.90,Matches,601ef102
Squad Total,,,27.1,38,418,3420,38.0,74,51,125,69,5,10,82,2,1.95,1.34,3.29,1.82,3.16,,-9999
Opponent Total,,,27.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
