,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Paul Pogba,fr FRA,MF,20,36,33,3066,34.1,7,8,15,7,0,0,4,0,0.21,0.23,0.44,0.21,0.44,Matches,867239d3
Gianluigi Buffon,it ITA,GK,35,33,33,2866,31.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,e40d028b
Kwadwo Asamoah,gh GHA,DFMF,24,34,32,2750,30.6,2,3,5,2,0,0,6,0,0.07,0.10,0.16,0.07,0.16,Matches,089550f5
Giorgio Chiellini,it ITA,DF,28,31,31,2773,30.8,3,3,6,3,0,0,5,0,0.10,0.10,0.19,0.10,0.19,Matches,e85fb9b8
Carlos Tevez,ar ARG,FWMF,29,34,30,2586,28.7,19,7,26,18,1,1,4,0,0.66,0.24,0.90,0.63,0.87,Matches,c1a26d43
Fernando Llorente,es ESP,FW,28,34,29,2485,27.6,16,5,21,16,0,0,3,0,0.58,0.18,0.76,0.58,0.76,Matches,82dbf623
Andrea Pirlo,it ITA,MF,34,30,29,2460,27.3,4,6,10,4,0,0,4,0,0.15,0.22,0.37,0.15,0.37,Matches,71c5f16f
Leonardo Bonucci,it ITA,DF,26,29,28,2538,28.2,2,3,5,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,Matches,52ec54d0
Arturo Vidal,cl CHI,MF,26,32,28,2435,27.1,11,5,16,9,2,2,8,0,0.41,0.18,0.59,0.33,0.52,Matches,67cdbc0e
Andrea Barzagli,it ITA,DF,32,26,26,2286,25.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7c0000fd
Stephan Lichtsteiner,ch SUI,DFMF,29,27,24,2111,23.5,2,8,10,2,0,0,4,0,0.09,0.34,0.43,0.09,0.43,Matches,99b1d0e6
Claudio Marchisio,it ITA,MF,27,29,21,1991,22.1,4,1,5,4,0,0,5,0,0.18,0.05,0.23,0.18,0.23,Matches,e304acd5
Martín Cáceres,uy URU,DF,26,17,14,1318,14.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e94d79e3
Angelo Ogbonna,it ITA,DF,25,16,14,1261,14.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,74b2cd7e
Mauricio Isla,cl CHI,DFMF,25,18,10,967,10.7,0,2,2,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,de4517dd
Simone Padoin,it ITA,DFMF,29,21,8,739,8.2,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,5eb72339
Sebastian Giovinco,it ITA,FWMF,26,17,6,572,6.4,2,1,3,2,0,0,1,0,0.31,0.16,0.47,0.31,0.47,Matches,2b7c18ae
Marco Storari,it ITA,GK,36,6,5,515,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb5eb6e0
Mirko Vučinić,me MNE,FW,29,12,4,404,4.5,2,0,2,1,1,1,2,0,0.45,0.00,0.45,0.22,0.22,Matches,b04b9530
Dani Osvaldo,it ITA,FW,27,11,4,375,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches,3f0eba4f
Federico Peluso,it ITA,DF,29,9,4,344,3.8,1,1,2,1,0,0,2,0,0.26,0.26,0.52,0.26,0.52,Matches,4f2908e5
Fabio Quagliarella,it ITA,FW,30,17,3,405,4.5,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches,ee4f2f3b
Paolo De Ceglie,it ITA,DF,26,4,2,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bdc1a432
Rubinho,br BRA,GK,30,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19aeb20a
Marco Motta,it ITA,DF,27,2,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1c65a088
Simone Pepe,it ITA,FWMF,29,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f3674c2
Squad Total,,,28.3,38,418,3420,38.0,78,54,132,74,4,4,70,0,2.05,1.42,3.47,1.95,3.37,,-9999
Opponent Total,,,27.5,38,,3420,38.0,,,,,,,,,,,,,,,-9999
