,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Marek Hamšík,sk SVK,MF,28,38,38,3220,35.8,6,11,17,5,1,2,0,0,0.17,0.31,0.48,0.14,0.45,Matches,e6ad16b2
Pepe Reina,es ESP,GK,32,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e358587b
Elseid Hysaj,al ALB,DF,21,37,37,3281,36.5,0,2,2,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,2f3452eb
Raúl Albiol,es ESP,DF,29,36,36,3240,36.0,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches,4bd414c1
Gonzalo Higuaín,ar ARG,FW,27,35,35,2958,32.9,36,2,38,33,3,3,3,1,1.10,0.06,1.16,1.00,1.06,Matches,8a08491a
José Callejón,es ESP,FW,28,38,35,2813,31.3,7,7,14,7,0,0,4,0,0.22,0.22,0.45,0.22,0.45,Matches,78841da9
Lorenzo Insigne,it ITA,FWMF,24,37,34,2598,28.9,12,10,22,10,2,2,2,0,0.42,0.35,0.76,0.35,0.69,Matches,2f557579
Faouzi Ghoulam,dz ALG,DF,24,34,32,2918,32.4,0,3,3,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,c5adc293
Jorginho,it ITA,MF,23,35,32,2915,32.4,0,4,4,0,0,0,12,1,0.00,0.12,0.12,0.00,0.12,Matches,45db685d
Kalidou Koulibaly,sn SEN,DF,24,33,32,2888,32.1,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,da974c7b
Allan,br BRA,MF,24,35,32,2818,31.3,3,5,8,3,0,0,5,0,0.10,0.16,0.26,0.10,0.26,Matches,cc700722
Vlad Chiricheș,ro ROU,DF,25,8,8,697,7.7,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,c316607a
Dries Mertens,be BEL,FW,28,33,6,1108,12.3,5,5,10,5,0,0,7,0,0.41,0.41,0.81,0.41,0.81,Matches,89b2c8a9
David López,es ESP,MF,25,25,6,748,8.3,1,1,2,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches,f03f284b
Mirko Valdifiori,it ITA,MF,29,6,6,453,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c710f7d5
Manolo Gabbiadini,it ITA,FW,23,23,4,562,6.2,5,3,8,4,1,1,1,0,0.80,0.48,1.28,0.64,1.12,Matches,8f866fe8
Christian Maggio,it ITA,DF,33,8,4,398,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31d7f557
Ivan Strinić,hr CRO,DF,28,5,3,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52e2ef8f
Gabriel,br BRA,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f93ed0df
Omar El Kaddouri,ma MAR,MF,24,20,0,251,2.8,1,2,3,1,0,0,1,0,0.36,0.72,1.08,0.36,1.08,Matches,92b17b2a
Nathaniel Chalobah,eng ENG,DFMF,20,5,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,422862ea
Vasco Regini,it ITA,DF,24,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,339c6ed4
Rafael Cabral,br BRA,GK,25,0,0,,,,,,,,,,,,,,,,Matches,806f7a26
Jacopo Dezi,it ITA,MF,23,0,0,,,,,,,,,,,,,,,,Matches,e921b9db
Alberto Grassi,it ITA,MF,20,0,0,,,,,,,,,,,,,,,,Matches,6cc97b6a
Henrique,br BRA,DF,28,0,0,,,,,,,,,,,,,,,,Matches,429163de
Sebastiano Luperto,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,Matches,997fff07
Squad Total,,,26.5,38,418,3420,38.0,78,56,134,71,7,8,72,0,2.05,1.47,3.53,1.87,3.34,,-9999
Opponent Total,,,27.2,38,418,3420,38.0,31,21,52,27,4,5,100,7,0.82,0.55,1.37,0.71,1.26,,-9999
