,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Ricardo Giusti,MF,29,7,7,630,7.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches,db227a4e
José Luis Brown,DF,29,7,7,630,7.0,1,,,1,0,,1,0,0.14,,,0.14,,Matches,17520890
Diego Maradona,FWMF,25,7,7,630,7.0,5,,,5,0,,1,0,0.71,,,0.71,,Matches,a2270ea2
Nery Pumpido,GK,28,7,7,630,7.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches,4426df4a
Oscar Ruggeri,DF,24,7,7,630,7.0,1,,,1,0,,0,0,0.14,,,0.14,,Matches,781d08b9
Jorge Valdano,FW,30,7,7,630,7.0,4,,,4,0,,1,0,0.57,,,0.57,,Matches,01a598d2
Jorge Burruchaga,FWMF,23,7,7,607,6.7,2,,,2,0,,0,0,0.30,,,0.30,,Matches,58170d5e
Sergio Batista,MF,23,7,7,531,5.9,0,,,0,0,,1,0,0.00,,,0.00,,Matches,4bf955ca
José Luis Cuciuffo,DF,25,6,6,540,6.0,0,,,0,0,,1,0,0.00,,,0.00,,Matches,b1bbb4c3
Oscar Garré,DF,29,4,4,360,4.0,0,,,0,0,,2,0,0.00,,,0.00,,Matches,f5ab4ef0
Julio Olarticoechea,DFMF,27,7,3,369,4.1,0,,,0,0,,1,0,0.00,,,0.00,,Matches,894c5a5c
Héctor Enrique,MF,24,5,3,332,3.7,0,,,0,0,,1,0,0.00,,,0.00,,Matches,893440d8
Pedro Pasculli,FW,26,2,2,163,1.8,1,,,1,0,,0,0,0.55,,,0.55,,Matches,330bc78e
Claudio Borghi,FWMF,21,2,2,118,1.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches,238b83ba
Néstor Clausen,DF,23,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches,da4be181
Carlos Daniel Tapia,MF,23,2,0,33,0.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches,1faa8ca1
Ricardo Bochini,MF,32,1,0,6,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,2362681a
Marcelo Trobbiani,MF,31,1,0,1,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches,39b11e63
Luis Islas,GK,20,0,0,,,,,,,,,,,,,,,,Matches,63e9beb6
Sergio Omar Almirón,FW,27,0,0,,,,,,,,,,,,,,,,Matches,32f135ea
Daniel Passarella,DF,33,0,0,,,,,,,,,,,,,,,,Matches,4b737869
Héctor Zelada,GK,29,0,0,,,,,,,,,,,,,,,,Matches,4cecfece
Squad Total,,26.4,7,77,630,7.0,14,,,14,0,,12,0,2.00,,,2.00,,,-9999
Opponent Total,,26.8,7,77,630,7.0,5,,,4,1,,11,0,0.71,,,0.57,,,-9999
