,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Cafú,DF,32,7,7,630,7.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,f0ee7526
Lúcio,DF,24,7,7,630,7.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,8abd0414
Marcos,GK,28,7,7,630,7.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,d89577f6
Gilberto Silva,DFMF,25,7,7,630,7.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,6e6e1b83
Rivaldo,FWMF,30,7,7,610,6.8,5,,,4,1,1,0,0,0.74,,,0.59,,Matches,5c7f3153
Ronaldo,FW,25,7,7,548,6.1,8,,,8,0,0,0,0,1.31,,,1.31,,Matches,57feb553
Roberto Carlos,DF,29,6,6,540,6.0,1,,,1,0,0,1,0,0.17,,,0.17,,Matches,6a3aaf62
Edmílson,DFMF,25,6,6,540,6.0,1,,,1,0,0,0,0,0.17,,,0.17,,Matches,13853c88
Roque Júnior,DF,25,6,6,540,6.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,ef2d5206
Ronaldinho,FWMF,22,5,5,331,3.7,2,,,1,1,1,1,1,0.54,,,0.27,,Matches,34edcab0
Juninho Paulista,MF,29,5,4,262,2.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,093373a5
José Kléberson,MF,22,5,3,308,3.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,b05f5f22
Ânderson Polga,DF,23,2,2,180,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,ebfa456c
Edílson,FW,31,4,2,170,1.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,98572964
Júnior,DFMF,28,1,1,90,1.0,1,,,1,0,0,0,0,1.00,,,1.00,,Matches,0f4a92dc
Denílson,MF,24,5,0,120,1.3,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,87582241
Ricardinho,MF,26,3,0,52,0.6,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,2ab2453b
Luizão,FW,26,2,0,41,0.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,05fe0db6
Kaká,FWMF,20,1,0,19,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,b2d6ea70
Vampeta,MF,28,1,0,19,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,50ee794b
Juliano Belletti,DFMF,25,1,0,6,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,a4432ca2
Rogério Ceni,GK,29,0,0,,,,,,,,,,,,,,,,Matches,a737c150
Dida,GK,28,0,0,,,,,,,,,,,,,,,,Matches,294919b2
Squad Total,,26.7,7,77,630,7.0,18,,,16,2,2,7,0,2.57,,,2.29,,,-9999
Opponent Total,,27.5,7,77,630,7.0,4,,,4,0,0,11,2,0.57,,,0.57,,,-9999
